sampled,Date,River SectioNo,SegmeNot,TraNosect,FB Yes_No,Time,WaypoiNot,Coord No,Coord E,Dom_Sub,SubDom_Sub,Embedded,VegetatioNo,Area Sampled,ChiNoook,NoPM,Stickleback,SculpiNo,Dace,Sucker,Site
yes,6/8/2013,1,1,46,Yes,12:22,B046RS05,46.64405,119.72094,9,1,4,4,78.5,,,,,,,12
yes,6/8/2013,1,1,46,Yes,12:06,B046RS01,46.64425,119.72067,9,1,4,4,78.5,,,,,,,12
yes,6/8/2013,1,1,49,Yes,13:10,B049RS05,46.64547,119.71239,9,1,4,4,39.25,,,,,,,13
yes,6/8/2013,1,1,49,Yes,12:55,B049RS01,46.64552,119.71192,9,1,4,4,78.5,,,,,,,13
yes,6/8/2013,1,1,49,Yes,13:00,B049RS02,46.64549,119.71202,9,1,4,4,78.5,,,,,,,13
yes,6/8/2013,1,1,49,Yes,13:05,B049RS03,46.6455,119.71213,9,1,4,4,39.25,,,,,,,13
yes,6/8/2013,1,1,49,Yes,13:10,B049RS04,46.64549,119.71227,9,1,4,4,39.25,,,,,,,13
yes,6/8/2013,3,8,343,Yes,9:55,B343MIR05,46.32766,119.25697,6,4,3,2,48.7,,,,,,,86
yes,6/8/2013,3,8,343,Yes,9:46,B343MIR03,46.32753,119.25694,6,5,3,2,20.33,,,,,,,86
yes,6/8/2013,3,8,343,Yes,9:51,B343MIR04,46.32761,119.25697,6,4,3,2,29.79,,,,,,,86
yes,6/8/2013,3,8,343,Yes,9:35,B343MIR01,46.32744,119.25692,6,4,3,2,25.06,,,,,,,86
yes,6/8/2013,3,8,343,Yes,9:42,B343MIR02,46.32734,119.25692,6,4,3,2,16.07,,,,,,,86
yes,6/8/2013,3,8,348,Yes,8:48,B348MIL02,46.31641,119.25283,3,7,2,2,48.7,,,,,,,87
yes,6/8/2013,3,8,348,Yes,8:52,B348MIL03,46.31623,119.25278,2,7,2,1,39.25,,,,,,,87
yes,6/8/2013,3,8,348,Yes,8:19,B348MIR01,46.31638,119.25403,7,4,2,2,65.96,,,,,,,87
yes,6/8/2013,3,8,348,Yes,8:25,B348MIR02,46.31628,119.25405,5,1,3,4,45.87,,,,,,,87
yes,6/8/2013,3,8,348,Yes,8:28,B348MIR03,46.31647,119.25397,7,3,2,2,39.25,,,,,,,87
yes,6/8/2013,3,8,348,Yes,8:45,B348MIL01,46.31633,119.2528,3,7,2,1,29.79,,,,,,,87
yes,6/9/2013,3,7,278,Yes,9:44,B278RS03,46.46865,119.26489,3,9,2,3,35.46,,,,,,,70
yes,6/9/2013,3,7,278,Yes,8:30,B278MIL01,46.46786,119.25427,5,2,3,2,46.34,,,,,,,70
yes,6/9/2013,3,7,278,Yes,8:40,B278MIL02,46.46795,119.2543,5,2,3,2,46.34,,,,,,,70
yes,6/9/2013,3,7,278,Yes,8:45,B278MIL03,46.46802,119.25429,5,2,3,2,48.23,,,,,,,70
yes,6/9/2013,3,7,278,Yes,8:53,B278MIR01,46.46827,119.25688,1,1,1,3,18.91,,,,,,,70
yes,6/9/2013,3,7,278,Yes,8:56,B278MIR02,46.46821,119.25685,1,1,1,3,18.91,,,,,,,70
yes,6/9/2013,3,7,278,Yes,9:01,B278MIR03,46.46813,119.25684,1,1,1,3,18.91,,,,,,,70
yes,6/9/2013,3,7,278,Yes,9:30,B278RS01,46.46849,119.26487,3,9,2,3,35.46,,,,,,,70
yes,6/9/2013,3,7,278,Yes,9:34,B278RS02,46.46857,119.26488,3,9,2,3,35.46,,,,,,,70
no,03/02/2013,2,6,221,No,,,,,,,,,,,,,,,,56
no,03/06/2013,3,8,343,No,,,,,,,,,,,,,,,,86
no,03/06/2013,3,8,343,Yes,,,,,,,,,,,,,,,,86
no,03/06/2013,3,8,343,Yes,,,,,,,,,,,,,,,,86
no,03/06/2013,3,8,355,Yes,,,,,,,,,,,,,,,,89
no,03/06/2013,3,8,355,Yes,,,,,,,,,,,,,,,,89
no,03/06/2013,3,8,355,No,,,,,,,,,,,,,,,,89
no,03/06/2013,3,8,357,Yes,,,,,,,,,,,,,,,,90
no,03/06/2013,3,8,359,Yes,,,,,,,,,,,,,,,,90
no,03/07/2013,1,1,27,No,,,,,,,,,,,,,,,,7
no,03/07/2013,1,1,27,No,,,,,,,,,,,,,,,,7
no,03/07/2013,1,1,27,No,,,,,,,,,,,,,,,,7
no,03/07/2013,1,1,56,No,,,,,,,,,,,,,,,,14
no,03/07/2013,1,1,56,No,,,,,,,,,,,,,,,,14
no,03/07/2013,1,2,66,No,,,,,,,,,,,,,,,,17
no,03/08/2013,1,1,44,No,,,,,,,,,,,,,,,,11
no,03/08/2013,1,1,44,No,,,,,,,,,,,,,,,,11
no,03/08/2013,1,1,57,No,,,,,,,,,,,,,,,,15
no,03/08/2013,1,1,57,No,,,,,,,,,,,,,,,,15
no,03/08/2013,1,2,70,No,,,,,,,,,,,,,,,,18
no,03/08/2013,1,2,70,No,,,,,,,,,,,,,,,,18
no,03/08/2013,1,2,77,No,,,,,,,,,,,,,,,,20
no,03/08/2013,1,2,77,No,,,,,,,,,,,,,,,,20
no,03/08/2013,1,2,77,No,,,,,,,,,,,,,,,,20
no,03/08/2013,1,2,114,No,,,,,,,,,,,,,,,,29
no,03/08/2013,1,2,114,No,,,,,,,,,,,,,,,,29
no,03/08/2013,1,2,114,No,,,,,,,,,,,,,,,,29
no,03/08/2013,1,2,114,No,,,,,,,,,,,,,,,,29
no,03/10/2013,3,7,251,Yes,,,,,,,,,,,,,,,,63
no,03/10/2013,3,7,288,No,,,,,,,,,,,,,,,,72
no,03/10/2013,3,7,288,No,,,,,,,,,,,,,,,,72
no,03/10/2013,3,7,288,Yes,,,,,,,,,,,,,,,,72
no,03/11/2013,1,2,72,No,,,,,,,,,,,,,,,,18
no,03/12/2013,2,3,125,No,,,,,,,,,,,,,,,,32
no,03/12/2013,2,3,125,No,,,,,,,,,,,,,,,,32
no,03/12/2013,2,3,125,No,,,,,,,,,,,,,,,,32
no,03/16/2013,3,7,274,Yes,,,,,,,,,,,,,,,,69
no,03/18/2013,2,3,139,No,,,,,,,,,,,,,,,,35
no,03/18/2013,2,3,139,No,,,,,,,,,,,,,,,,35
no,03/18/2013,2,3,139,No,,,,,,,,,,,,,,,,35
no,03/18/2013,2,3,139,No,,,,,,,,,,,,,,,,35
no,03/18/2013,2,3,141,No,,,,,,,,,,,,,,,,36
no,03/18/2013,2,3,141,No,,,,,,,,,,,,,,,,36
no,03/18/2013,2,3,141,No,,,,,,,,,,,,,,,,36
no,03/18/2013,2,3,141,No,,,,,,,,,,,,,,,,36
no,03/18/2013,2,4,170,No,,,,,,,,,,,,,,,,43
no,03/18/2013,2,4,170,No,,,,,,,,,,,,,,,,43
no,03/18/2013,2,4,172,No,,,,,,,,,,,,,,,,43
no,03/18/2013,2,4,172,No,,,,,,,,,,,,,,,,43
no,03/18/2013,2,4,176,No,,,,,,,,,,,,,,,,44
no,03/18/2013,2,4,176,No,,,,,,,,,,,,,,,,44
no,03/18/2013,2,4,176,No,,,,,,,,,,,,,,,,44
no,03/18/2013,2,4,176,No,,,,,,,,,,,,,,,,44
no,03/18/2013,2,4,180,No,,,,,,,,,,,,,,,,45
no,03/18/2013,2,4,180,No,,,,,,,,,,,,,,,,45
no,03/18/2013,2,4,180,No,,,,,,,,,,,,,,,,45
no,03/18/2013,2,4,180,No,,,,,,,,,,,,,,,,45
no,03/18/2013,2,4,182,No,,,,,,,,,,,,,,,,46
no,03/18/2013,2,4,182,No,,,,,,,,,,,,,,,,46
no,03/18/2013,2,4,182,No,,,,,,,,,,,,,,,,46
no,03/18/2013,2,4,182,No,,,,,,,,,,,,,,,,46
no,03/19/2013,1,2,73,No,,,,,,,,,,,,,,,,19
no,03/19/2013,1,2,73,No,,,,,,,,,,,,,,,,19
no,03/19/2013,1,2,73,No,,,,,,,,,,,,,,,,19
no,03/19/2013,1,2,76,No,,,,,,,,,,,,,,,,19
no,03/19/2013,1,2,76,No,,,,,,,,,,,,,,,,19
no,03/19/2013,1,2,76,No,,,,,,,,,,,,,,,,19
no,03/19/2013,1,2,76,No,,,,,,,,,,,,,,,,19
no,03/19/2013,1,2,76,No,,,,,,,,,,,,,,,,19
no,03/19/2013,2,4,169,No,,,,,,,,,,,,,,,,43
no,03/20/2013,1,1,9,No,,,,,,,,,,,,,,,,3
no,03/20/2013,1,2,113,No,,,,,,,,,,,,,,,,29
no,03/20/2013,1,2,113,No,,,,,,,,,,,,,,,,29
no,03/20/2013,1,2,113,No,,,,,,,,,,,,,,,,29
no,03/21/2013,1,2,66,No,,,,,,,,,,,,,,,,17
no,03/21/2013,1,2,75,No,,,,,,,,,,,,,,,,19
no,03/24/2013,3,7,248,No,,,,,,,,,,,,,,,,62
no,03/24/2013,3,7,293,No,,,,,,,,,,,,,,,,74
no,03/24/2013,3,7,293,No,,,,,,,,,,,,,,,,74
no,03/24/2013,3,7,306,No,,,,,,,,,,,,,,,,77
no,03/24/2013,3,7,306,No,,,,,,,,,,,,,,,,77
no,03/27/2013,1,2,74,Yes,,,,,,,,,,,,,,,,19
no,03/27/2013,1,2,74,No,,,,,,,,,,,,,,,,19
no,03/29/2013,1,1,29,Yes,,,,,,,,,,,,,,,,8
no,03/29/2013,1,1,29,Yes,,,,,,,,,,,,,,,,8
no,03/29/2013,1,1,45,Yes,,,,,,,,,,,,,,,,12
no,03/29/2013,1,2,69,Yes,,,,,,,,,,,,,,,,18
no,03/30/2013,2,3,115,Yes,,,,,,,,,,,,,,,,29
no,03/30/2013,2,3,115,Yes,,,,,,,,,,,,,,,,29
no,03/30/2013,2,3,115,Yes,,,,,,,,,,,,,,,,29
no,03/31/2013,3,7,277,Yes,,,,,,,,,,,,,,,,70
no,03/31/2013,3,7,277,Yes,,,,,,,,,,,,,,,,70
no,03/31/2013,3,7,277,Yes,,,,,,,,,,,,,,,,70
no,03/31/2013,3,7,277,Yes,,,,,,,,,,,,,,,,70
no,03/31/2013,3,7,296,Yes,,,,,,,,,,,,,,,,74
no,03/31/2013,3,7,296,Yes,,,,,,,,,,,,,,,,74
no,04/05/2013,1,1,29,Yes,,,,,,,,,,,,,,,,8
no,04/05/2013,1,1,29,No,,,,,,,,,,,,,,,,8
no,04/05/2013,1,2,93,Yes,,,,,,,,,,,,,,,,24
no,04/07/2013,2,3,152,No,,,,,,,,,,,,,,,,38
no,04/07/2013,2,3,152,No,,,,,,,,,,,,,,,,38
no,04/07/2013,2,4,165,No,,,,,,,,,,,,,,,,42
no,04/08/2013,2,4,178,No,,,,,,,,,,,,,,,,45
no,04/08/2013,2,4,178,No,,,,,,,,,,,,,,,,45
no,04/08/2013,2,4,178,No,,,,,,,,,,,,,,,,45
no,04/08/2013,2,4,178,No,,,,,,,,,,,,,,,,45
no,04/08/2013,2,4,178,Yes,,,,,,,,,,,,,,,,45
no,04/08/2013,2,4,178,Yes,,,,,,,,,,,,,,,,45
no,04/08/2013,2,4,178,No,,,,,,,,,,,,,,,,45
no,04/09/2013,1,1,52,No,,,,,,,,,,,,,,,,13
no,04/09/2013,1,1,57,No,,,,,,,,,,,,,,,,15
no,04/10/2013,3,7,262,No,,,,,,,,,,,,,,,,66
no,04/10/2013,3,8,334,No,,,,,,,,,,,,,,,,84
no,04/10/2013,3,8,334,No,,,,,,,,,,,,,,,,84
no,04/11/2013,3,7,250,No,,,,,,,,,,,,,,,,63
no,04/11/2013,3,7,281,No,,,,,,,,,,,,,,,,71
no,04/12/2013,1,1,25,No,,,,,,,,,,,,,,,,7
no,04/12/2013,1,1,32,No,,,,,,,,,,,,,,,,8
no,04/15/2013,1,2,93,Yes,,,,,,,,,,,,,,,,24
no,04/15/2013,1,2,103,Yes,,,,,,,,,,,,,,,,26
no,04/16/2013,2,3,157,No,,,,,,,,,,,,,,,,40
no,04/16/2013,2,3,157,No,,,,,,,,,,,,,,,,40
no,04/16/2013,2,3,157,No,,,,,,,,,,,,,,,,40
no,04/16/2013,2,4,172,No,,,,,,,,,,,,,,,,43
no,04/16/2013,2,4,172,No,,,,,,,,,,,,,,,,43
no,04/17/2013,1,2,98,No,,,,,,,,,,,,,,,,25
no,04/17/2013,1,2,101,Yes,,,,,,,,,,,,,,,,26
no,04/18/2013,1,2,105,No,,,,,,,,,,,,,,,,27
no,04/19/2013,2,5,202,No,,,,,,,,,,,,,,,,51
no,04/19/2013,2,5,202,No,,,,,,,,,,,,,,,,51
no,04/20/2013,3,7,255,No,,,,,,,,,,,,,,,,64
no,04/20/2013,3,7,255,No,,,,,,,,,,,,,,,,64
no,04/20/2013,3,7,255,No,,,,,,,,,,,,,,,,64
no,04/20/2013,3,7,255,No,,,,,,,,,,,,,,,,64
no,04/20/2013,3,7,255,No,,,,,,,,,,,,,,,,64
no,04/20/2013,3,7,255,No,,,,,,,,,,,,,,,,64
no,04/20/2013,3,7,272,No,,,,,,,,,,,,,,,,68
no,04/20/2013,3,7,272,No,,,,,,,,,,,,,,,,68
no,04/20/2013,3,7,272,No,,,,,,,,,,,,,,,,68
no,04/20/2013,3,7,272,No,,,,,,,,,,,,,,,,68
no,04/21/2013,2,3,129,No,,,,,,,,,,,,,,,,33
no,04/21/2013,2,3,129,No,,,,,,,,,,,,,,,,33
no,04/21/2013,2,3,142,No,,,,,,,,,,,,,,,,36
no,04/21/2013,2,3,142,No,,,,,,,,,,,,,,,,36
no,04/21/2013,2,3,142,No,,,,,,,,,,,,,,,,36
no,04/23/2013,1,2,99,No,,,,,,,,,,,,,,,,25
no,04/23/2013,2,3,125,No,,,,,,,,,,,,,,,,32
no,04/23/2013,2,3,125,No,,,,,,,,,,,,,,,,32
no,04/24/2013,1,1,6,No,,,,,,,,,,,,,,,,2
no,04/24/2013,1,1,6,No,,,,,,,,,,,,,,,,2
no,04/24/2013,1,1,10,No,,,,,,,,,,,,,,,,3
no,04/25/2013,3,8,337,No,,,,,,,,,,,,,,,,85
no,04/27/2013,1,1,27,No,,,,,,,,,,,,,,,,7
no,04/27/2013,1,1,35,No,,,,,,,,,,,,,,,,9
no,04/27/2013,1,1,45,Yes,,,,,,,,,,,,,,,,12
no,04/27/2013,1,1,48,Yes,,,,,,,,,,,,,,,,12
no,04/29/2013,3,7,273,No,,,,,,,,,,,,,,,,69
no,04/29/2013,3,7,273,No,,,,,,,,,,,,,,,,69
no,04/29/2013,3,7,276,No,,,,,,,,,,,,,,,,69
no,04/29/2013,3,7,276,No,,,,,,,,,,,,,,,,69
no,04/29/2013,3,7,276,No,,,,,,,,,,,,,,,,69
no,04/29/2013,3,7,287,No,,,,,,,,,,,,,,,,72
no,04/29/2013,3,7,287,No,,,,,,,,,,,,,,,,72
no,04/29/2013,3,7,287,No,,,,,,,,,,,,,,,,72
no,04/29/2013,3,7,287,No,,,,,,,,,,,,,,,,72
no,05/01/2013,2,6,225,No,,,,,,,,,,,,,,,,57
no,05/01/2013,3,7,266,No,,,,,,,,,,,,,,,,67
no,05/01/2013,3,7,266,No,,,,,,,,,,,,,,,,67
no,05/01/2013,3,7,266,No,,,,,,,,,,,,,,,,67
no,05/01/2013,3,7,298,No,,,,,,,,,,,,,,,,75
no,05/01/2013,3,7,298,No,,,,,,,,,,,,,,,,75
no,05/01/2013,3,7,298,No,,,,,,,,,,,,,,,,75
no,05/01/2013,3,7,298,No,,,,,,,,,,,,,,,,75
no,05/01/2013,3,7,298,No,,,,,,,,,,,,,,,,75
no,05/03/2013,1,1,21,No,,,,,,,,,,,,,,,,6
no,05/03/2013,1,1,54,Yes,,,,,,,,,,,,,,,,14
no,05/04/2013,2,3,121,No,,,,,,,,,,,,,,,,31
no,05/04/2013,2,3,121,No,,,,,,,,,,,,,,,,31
no,05/05/2013,1,2,62,No,,,,,,,,,,,,,,,,16
no,05/05/2013,1,2,88,No,,,,,,,,,,,,,,,,22
no,05/06/2013,3,7,297,No,,,,,,,,,,,,,,,,75
no,05/06/2013,3,7,297,No,,,,,,,,,,,,,,,,75
no,05/09/2013,2,4,179,No,,,,,,,,,,,,,,,,45
no,05/09/2013,2,4,179,No,,,,,,,,,,,,,,,,45
no,05/09/2013,2,5,195,No,,,,,,,,,,,,,,,,49
no,05/11/2013,1,1,9,No,,,,,,,,,,,,,,,,3
no,05/11/2013,1,1,11,No,,,,,,,,,,,,,,,,3
no,05/11/2013,1,1,22,Yes,,,,,,,,,,,,,,,,6
no,05/12/2013,2,4,175,Yes,,,,,,,,,,,,,,,,44
no,05/12/2013,2,4,175,No,,,,,,,,,,,,,,,,44
no,05/13/2013,3,7,283,Yes,,,,,,,,,,,,,,,,71
no,05/13/2013,3,7,283,Yes,,,,,,,,,,,,,,,,71
no,05/13/2013,3,7,283,No,,,,,,,,,,,,,,,,71
no,05/13/2013,3,7,283,Yes,,,,,,,,,,,,,,,,71
no,05/13/2013,3,7,296,No,,,,,,,,,,,,,,,,74
no,05/13/2013,3,7,296,No,,,,,,,,,,,,,,,,74
no,05/13/2013,3,7,296,No,,,,,,,,,,,,,,,,74
no,05/13/2013,3,7,301,No,,,,,,,,,,,,,,,,76
no,05/13/2013,3,7,301,No,,,,,,,,,,,,,,,,76
no,05/13/2013,3,7,301,No,,,,,,,,,,,,,,,,76
no,05/13/2013,3,7,301,No,,,,,,,,,,,,,,,,76
no,05/14/2013,2,4,164,Yes,,,,,,,,,,,,,,,,41
no,05/14/2013,2,4,164,Yes,,,,,,,,,,,,,,,,41
no,05/14/2013,2,4,182,Yes,,,,,,,,,,,,,,,,46
no,05/14/2013,2,4,182,Yes,,,,,,,,,,,,,,,,46
no,05/16/2013,3,7,272,No,,,,,,,,,,,,,,,,68
no,05/16/2013,3,7,272,No,,,,,,,,,,,,,,,,68
no,05/16/2013,3,7,281,No,,,,,,,,,,,,,,,,71
no,05/16/2013,3,7,281,No,,,,,,,,,,,,,,,,71
no,05/16/2013,3,7,281,No,,,,,,,,,,,,,,,,71
no,05/16/2013,3,7,281,No,,,,,,,,,,,,,,,,71
no,05/17/2013,3,7,255,Yes,,,,,,,,,,,,,,,,64
no,05/17/2013,3,7,255,Yes,,,,,,,,,,,,,,,,64
no,05/17/2013,3,7,265,Yes,,,,,,,,,,,,,,,,67
no,05/17/2013,3,7,278,Yes,,,,,,,,,,,,,,,,70
no,05/17/2013,3,7,295,No,,,,,,,,,,,,,,,,74
no,05/17/2013,3,7,295,No,,,,,,,,,,,,,,,,74
no,05/17/2013,3,7,300,No,,,,,,,,,,,,,,,,75
no,05/17/2013,3,7,300,No,,,,,,,,,,,,,,,,75
no,05/19/2013,1,1,19,No,,,,,,,,,,,,,,,,5
no,05/20/2013,1,1,38,No,,,,,,,,,,,,,,,,10
no,05/20/2013,1,1,38,No,,,,,,,,,,,,,,,,10
no,05/20/2013,1,1,52,No,,,,,,,,,,,,,,,,13
no,05/20/2013,1,2,73,No,,,,,,,,,,,,,,,,19
no,05/20/2013,1,2,73,No,,,,,,,,,,,,,,,,19
no,05/21/2013,2,3,139,Yes,,,,,,,,,,,,,,,,35
no,05/21/2013,2,3,139,No,,,,,,,,,,,,,,,,35
no,05/21/2013,2,3,154,No,,,,,,,,,,,,,,,,39
no,05/21/2013,2,3,154,No,,,,,,,,,,,,,,,,39
no,05/22/2013,2,6,219,No,,,,,,,,,,,,,,,,55
no,05/22/2013,2,6,219,No,,,,,,,,,,,,,,,,55
no,05/23/2013,1,2,65,No,,,,,,,,,,,,,,,,17
no,05/23/2013,1,2,65,No,,,,,,,,,,,,,,,,17
no,05/24/2013,1,1,32,No,,,,,,,,,,,,,,,,8
no,05/24/2013,1,1,32,No,,,,,,,,,,,,,,,,8
no,05/24/2013,1,1,42,No,,,,,,,,,,,,,,,,11
no,05/24/2013,1,1,55,No,,,,,,,,,,,,,,,,14
no,05/24/2013,1,1,55,No,,,,,,,,,,,,,,,,14
no,05/25/2013,1,1,56,Yes,,,,,,,,,,,,,,,,14
no,05/25/2013,1,2,70,No,,,,,,,,,,,,,,,,18
no,05/25/2013,1,2,70,No,,,,,,,,,,,,,,,,18
no,05/25/2013,1,2,108,No,,,,,,,,,,,,,,,,27
no,05/25/2013,1,2,108,No,,,,,,,,,,,,,,,,27
no,05/25/2013,1,2,116,No,,,,,,,,,,,,,,,,29
no,05/25/2013,1,2,116,No,,,,,,,,,,,,,,,,29
no,05/26/2013,2,3,157,No,,,,,,,,,,,,,,,,40
no,05/26/2013,2,3,157,Yes,,,,,,,,,,,,,,,,40
no,05/26/2013,2,3,157,No,,,,,,,,,,,,,,,,40
no,05/26/2013,2,3,157,Yes,,,,,,,,,,,,,,,,40
no,05/26/2013,2,4,173,No,,,,,,,,,,,,,,,,44
no,05/26/2013,2,4,173,No,,,,,,,,,,,,,,,,44
no,05/26/2013,3,7,249,No,,,,,,,,,,,,,,,,63
no,05/26/2013,3,7,249,No,,,,,,,,,,,,,,,,63
no,05/26/2013,3,7,275,Yes,,,,,,,,,,,,,,,,69
no,05/26/2013,3,7,275,No,,,,,,,,,,,,,,,,69
no,05/26/2013,3,7,275,No,,,,,,,,,,,,,,,,69
no,05/26/2013,3,7,297,No,,,,,,,,,,,,,,,,75
no,05/26/2013,3,7,297,No,,,,,,,,,,,,,,,,75
no,05/26/2013,3,7,297,No,,,,,,,,,,,,,,,,75
no,05/29/2013,2,3,150,Yes,,,,,,,,,,,,,,,,38
no,05/29/2013,2,3,150,No,,,,,,,,,,,,,,,,38
no,05/29/2013,2,3,150,No,,,,,,,,,,,,,,,,38
no,05/29/2013,2,4,183,No,,,,,,,,,,,,,,,,46
no,05/29/2013,2,4,183,No,,,,,,,,,,,,,,,,46
no,05/30/2013,2,3,135,No,,,,,,,,,,,,,,,,34
no,05/30/2013,2,3,135,No,,,,,,,,,,,,,,,,34
no,05/30/2013,2,3,140,No,,,,,,,,,,,,,,,,35
no,05/30/2013,2,3,140,No,,,,,,,,,,,,,,,,35
no,05/30/2013,2,3,140,No,,,,,,,,,,,,,,,,35
no,05/31/2013,1,2,111,Yes,,,,,,,,,,,,,,,,28
no,06/01/2013,1,1,29,Yes,,,,,,,,,,,,,,,,8
no,06/01/2013,1,1,29,Yes,,,,,,,,,,,,,,,,8
no,06/01/2013,1,1,31,Yes,,,,,,,,,,,,,,,,8
no,06/01/2013,1,2,64,No,,,,,,,,,,,,,,,,16
no,06/04/2013,3,7,279,Yes,,,,,,,,,,,,,,,,70
no,06/04/2013,3,7,279,Yes,,,,,,,,,,,,,,,,70
no,06/04/2013,3,7,294,Yes,,,,,,,,,,,,,,,,74
no,06/04/2013,3,7,294,Yes,,,,,,,,,,,,,,,,74
no,06/08/2013,1,1,46,No,,,,,,,,,,,,,,,,12
no,06/08/2013,1,1,49,No,,,,,,,,,,,,,,,,13
no,06/08/2013,3,8,343,No,,,,,,,,,,,,,,,,86
no,06/08/2013,3,8,343,Yes,,,,,,,,,,,,,,,,86
no,06/08/2013,3,8,343,No,,,,,,,,,,,,,,,,86
no,06/08/2013,3,8,348,Yes,,,,,,,,,,,,,,,,87
no,06/08/2013,3,8,348,No,,,,,,,,,,,,,,,,87
no,06/08/2013,3,8,359,No,,,,,,,,,,,,,,,,90
no,06/08/2013,3,8,359,No,,,,,,,,,,,,,,,,90
no,06/09/2013,3,7,278,No,,,,,,,,,,,,,,,,70
